"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\creators\discover\route.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 2, 12, 68
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\creators\route.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 1, 4, 35
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\dvm\analytics\route.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 2, 13, 83
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\indexer\run\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 1, 7, 45
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\v1\trust-score\[pubkey]\route.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 17, 15, 127
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\widget\claim\route.ts", "TypeScript", 0, 110, 0, 0, 0, 0, 0, 0, 7, 14, 131
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\api\widget\quote\route.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 2, 8, 66
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\bot\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 3, 5, 54
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\bounties\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 313, 0, 0, 0, 19, 37, 369
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\compare\[pair]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 145, 0, 0, 0, 9, 27, 181
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\compare\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 232, 0, 0, 0, 13, 40, 285
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 2, 18, 135
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 125, 0, 0, 5, 130
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 3, 121
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 0, 0, 0, 4, 11, 111
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\p\[npub]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 234, 0, 0, 0, 22, 37, 293
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 4, 4, 22
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 7, 39
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\relays\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 280, 0, 0, 0, 6, 37, 323
"d:\UIT\NamBonUIT\nostrpulse-full\src\app\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 1, 14, 71
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\ai\MachineSpenderBot.tsx", "TypeScript JSX", 0, 0, 0, 0, 684, 0, 0, 0, 50, 62, 796
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\ai\MachineSpenderFAB.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 14, 12, 124
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\bounty\BountyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 199, 0, 0, 0, 10, 22, 231
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\bounty\CreateBountyModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 196, 0, 0, 0, 12, 20, 228
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\bounty\TaskResultView.tsx", "TypeScript JSX", 0, 0, 0, 0, 555, 0, 0, 0, 58, 59, 672
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\compare\CompareHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 1, 18, 108
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\compare\VersusTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 222, 0, 0, 0, 11, 22, 255
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\Breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\CreatorNotesFeed.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 5, 11, 96
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\EmbedBadgeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 6, 18, 196
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\FAQSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\LightningZapCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 836, 0, 0, 0, 40, 92, 968
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\LiveZapFeed.tsx", "TypeScript JSX", 0, 0, 0, 0, 240, 0, 0, 0, 9, 32, 281
"d:\UIT\NamBonUIT\nostrpulse-full\src\components\detail\SuggestedCreators.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 1, 7, 71
